"","villageid","ham","vc_infr","urban","all_atk","en_pres","usid","colonial_roads","all_roads","traintram","telegraph","milpost","market","factory","en_init_sitra","fr_d","fw_d","en_d","temp","admin_p1","admin_c","health_p1","health_c","educ_p1","educ_p2","educ_c","soccap_p1","soccap_c","econ_p1","econ_c","sec_p1","sec_p2","sec_c","slope","elev","id","lat","lon","dbnd","seg2","treat","dbnd2","lat2","lon2","treat_dbnd","treat2_dbnd","latlon","oweight"
"228",2070509,7,1,0,0.28571429848671,0.333333343267441,207050907,0,0,0,0,0,0,0,0.0877192988991737,0.504385964912281,0,1.32017543859649,"207050907",0.929865419864655,2,0.0940777212381363,1,0.0295399688184261,0.970460057258606,2,0.444469749927521,1.47619044780731,0.114192239940166,1,1.78376249095891e-05,0.999982178211212,2,2.60992002487183,9,7095,14.4697999954224,109.098052978516,-15.6971817016602,0,0,246.401519775391,209.375106811523,11902.384765625,0,0,1578.626953125,0.372112721204758
"229",2070509,8,1,0,0.333333343267441,0.333333343267441,207050908,0,0,0,0,0,0,0,0.105263158679008,0.0394736842105263,0,0.390350877192982,"207050908",0.929865419864655,2,0.0940777212381363,1,0.0306139271706343,0.969386041164398,2,0.444469749927521,1.47619044780731,0.114192239940166,1,1.99090936803259e-06,0.999998033046722,2,0.790813624858856,7,7096,14.45814037323,109.109283447266,-17.2714233398438,0,0,298.302062988281,209.037826538086,11904.8359375,0,0,1577.51733398438,0.30914306640625
"230",2070509,9,1,0,0.714285731315613,0.714285731315613,207050909,0,0,0,0,0,0,0,0.157894745469093,0.350877192982456,0,0.565789473684211,"207050909",0.929463624954224,2,0.0315590500831604,1,0.022571275010705,0.977428734302521,2,0.185376390814781,1.14285719394684,0.0743836238980293,1,3.00765870542286e-11,1,2,1.61452567577362,4,7097,14.4543695449829,109.08984375,-17.1825695037842,0,0,295.240692138672,208.928802490234,11900.59375,0,0,1576.82495117188,0.312697231769562
"231",2070509,10,1,0,0.333333343267441,0.380952388048172,207050910,0,0,0,0,0,0,0,0.105263158679008,0.0394736842105263,0,0.390350877192982,"207050910",0.505364954471588,1.47619044780731,0.0940777212381363,1,0.0759547129273415,0.924045324325562,2,0.0994308739900589,1,0.114192239940166,1,1.0411089306217e-06,0.999998986721039,2,0.790813624858856,7,7098,14.45814037323,109.109283447266,-17.2714233398438,0,0,298.302062988281,209.037826538086,11904.8359375,0,0,1577.51733398438,0.30914306640625
"232",2070509,11,1,0,0.238095238804817,0.28571429848671,207050911,0,0,0,0,0,0,0,0.157894745469093,0.68859649122807,0,1.35087719298246,"207050911",0.92950838804245,2,0.0940777212381363,1,0.0959980711340904,0.904001951217651,2,0.438050657510757,1.47619044780731,0.114192239940166,1,3.61376987711992e-06,0.999996364116669,2,1.10771071910858,4,7099,14.4670295715332,109.090660095215,-15.8196287155151,0,0,250.260650634766,209.294937133789,11900.7724609375,0,0,1578.2177734375,0.367214858531952
"233",2070510,1,1,0,0.571428596973419,0.380952388048172,207051001,0,0,0,0,0,0,0,0.210526317358017,0.754385964912281,0,0.442982456140351,"207051001",0.864425301551819,1.85714280605316,0.010053563863039,1,0.00174223748035729,0.998257756233215,2,0.33088892698288,1.28571426868439,0.000269356241915375,1,7.74665204517078e-06,0.999992251396179,2,0.687025666236877,3,7100,14.4732303619385,109.074836730957,-14.8913555145264,0,0,221.752471923828,209.474395751953,11897.3203125,0,0,1578.66528320312,0.404345780611038
"234",2070510,2,1,0,0.333333343267441,0.238095238804817,207051002,0,0,0,0,0,0,0,0.280701756477356,1.1359649122807,0.105263157894737,1.35087719298246,"207051002",0.864021182060242,1.85714280605316,0.0149243539199233,1,0.00174223748035729,0.998257756233215,2,0.291579931974411,1.28571426868439,0.000574753677938133,1,1.60218969540438e-05,0.999983966350555,2,5.52419233322144,22,7101,14.4868097305298,109.077499389648,-13.4258327484131,0,0,180.252990722656,209.867660522461,11897.900390625,0,0,1580.18493652344,0.462966680526733
"235",2070510,3,1,0,0.28571429848671,0.28571429848671,207051003,0,0,0,0,0,0,0,0.210526317358017,1.03070175438596,0.0526315789473684,1.28947368421053,"207051003",0.636418282985687,1.57142853736877,0.010053563863039,1,0.00147344218567014,0.998526573181152,2,0.278684109449387,1.28571426868439,0.000269356241915375,1,3.44735167345789e-06,0.999996542930603,2,2.18514704704285,9,7102,14.4959201812744,109.086700439453,-12.5966024398804,0,0,158.674392700195,210.131698608398,11899.908203125,0,0,1581.31213378906,0.496135890483856
"236",2070510,4,1,0,0.428571432828903,0.523809552192688,207051004,0,0,0,0,0,0,0,0.263157904148102,1.0219298245614,0.157894736842105,1.17105263157895,"207051004",0.86438661813736,1.85714280605316,0.010053563863039,1,0.00174223748035729,0.998257756233215,2,0.278457999229431,1.28571426868439,0.000269356241915375,1,2.42688588514284e-06,0.999997556209564,2,0.790813624858856,15,7103,14.4958200454712,109.074638366699,-12.3975925445557,0,0,153.700302124023,210.128799438477,11897.2763671875,0,0,1581.12634277344,0.504096269607544
"237",2070510,5,1,0,0.16666667163372,0.117647059261799,207051005,0,0,0,0,0,0,0,0.175438597798347,0.995614035087719,0.0175438596491228,1.19736842105263,"207051005",0.929929375648499,1.94444441795349,0.0024921263102442,1,0.0023138471879065,0.997686147689819,2,0.31934529542923,1.33333337306976,0.00152231613174081,1,0.000150457097333856,0.999849557876587,2,1.58132612705231,21,7104,14.4914398193359,109.091377258301,-13.1947193145752,0,0,174.100616455078,210.001831054688,11900.9287109375,0,0,1580.89111328125,0.472211241722107
